season,week,game_id,gameday,home_team,away_team,home_score,away_score,home_team_won,home_point_diff
2018,14,2018_14_DEN_SF,2018-12-09,SF,DEN,20.0,14.0,1,6.0
2018,14,2018_14_DET_ARI,2018-12-09,ARI,DET,3.0,17.0,0,-14.0
2018,14,2018_14_PHI_DAL,2018-12-09,DAL,PHI,29.0,23.0,1,6.0
2018,14,2018_14_PIT_OAK,2018-12-09,OAK,PIT,24.0,21.0,1,3.0
2018,14,2018_14_LA_CHI,2018-12-09,CHI,LA,15.0,6.0,1,9.0
2018,14,2018_14_MIN_SEA,2018-12-10,SEA,MIN,21.0,7.0,1,14.0
2018,15,2018_15_LAC_KC,2018-12-13,KC,LAC,28.0,29.0,0,-1.0
2018,15,2018_15_HOU_NYJ,2018-12-15,NYJ,HOU,22.0,29.0,0,-7.0
2018,15,2018_15_CLE_DEN,2018-12-15,DEN,CLE,16.0,17.0,0,-1.0
2018,15,2018_15_ARI_ATL,2018-12-16,ATL,ARI,40.0,14.0,1,26.0
2018,15,2018_15_TB_BAL,2018-12-16,BAL,TB,20.0,12.0,1,8.0
2018,15,2018_15_DET_BUF,2018-12-16,BUF,DET,14.0,13.0,1,1.0
2018,15,2018_15_GB_CHI,2018-12-16,CHI,GB,24.0,17.0,1,7.0
2018,15,2018_15_OAK_CIN,2018-12-16,CIN,OAK,30.0,16.0,1,14.0
2018,15,2018_15_DAL_IND,2018-12-16,IND,DAL,23.0,0.0,1,23.0
2018,15,2018_15_WAS_JAX,2018-12-16,JAX,WAS,13.0,16.0,0,-3.0
2018,15,2018_15_MIA_MIN,2018-12-16,MIN,MIA,41.0,17.0,1,24.0
2018,15,2018_15_TEN_NYG,2018-12-16,NYG,TEN,0.0,17.0,0,-17.0
2018,15,2018_15_SEA_SF,2018-12-16,SF,SEA,26.0,23.0,1,3.0
2018,15,2018_15_NE_PIT,2018-12-16,PIT,NE,17.0,10.0,1,7.0
2018,15,2018_15_PHI_LA,2018-12-16,LA,PHI,23.0,30.0,0,-7.0
2018,15,2018_15_NO_CAR,2018-12-17,CAR,NO,9.0,12.0,0,-3.0
2018,16,2018_16_WAS_TEN,2018-12-22,TEN,WAS,25.0,16.0,1,9.0
2018,16,2018_16_BAL_LAC,2018-12-22,LAC,BAL,10.0,22.0,0,-12.0
2018,16,2018_16_ATL_CAR,2018-12-23,CAR,ATL,10.0,24.0,0,-14.0
2018,16,2018_16_CIN_CLE,2018-12-23,CLE,CIN,26.0,18.0,1,8.0
2018,16,2018_16_TB_DAL,2018-12-23,DAL,TB,27.0,20.0,1,7.0
2018,16,2018_16_MIN_DET,2018-12-23,DET,MIN,9.0,27.0,0,-18.0
2018,16,2018_16_NYG_IND,2018-12-23,IND,NYG,28.0,27.0,1,1.0
2018,16,2018_16_JAX_MIA,2018-12-23,MIA,JAX,7.0,17.0,0,-10.0
2018,16,2018_16_BUF_NE,2018-12-23,NE,BUF,24.0,12.0,1,12.0
2018,16,2018_16_GB_NYJ,2018-12-23,NYJ,GB,38.0,44.0,0,-6.0
2018,16,2018_16_HOU_PHI,2018-12-23,PHI,HOU,32.0,30.0,1,2.0
2018,16,2018_16_LA_ARI,2018-12-23,ARI,LA,9.0,31.0,0,-22.0
